Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1925,NL,Standard,Philadelphia Phillies,68,85,,0.444,27.0,
1925,NL,Standard,Brooklyn Robins,68,85,,0.444,27.0,
1925,NL,Standard,Chicago Cubs,68,86,,0.442,27.5,
1926,NL,Standard,St. Louis Cardinals,89,65,,0.578,0.0,
1926,NL,Standard,Cincinnati Reds,87,67,,0.565,2.0,
1926,NL,Standard,Pittsburgh Pirates,84,69,,0.549,4.5,
1926,NL,Standard,Chicago Cubs,82,72,,0.532,7.0,
1926,NL,Standard,New York Giants,74,77,,0.49,13.5,
1926,NL,Standard,Brooklyn Robins,71,82,,0.464,17.5,
1926,NL,Standard,Boston Braves,66,86,,0.434,22.0,
1926,NL,Standard,Philadelphia Phillies,58,93,,0.384,29.5,
1927,NL,Standard,Pittsburgh Pirates,94,60,,0.61,0.0,
1927,NL,Standard,St.Louis Cardinals,92,61,,0.601,1.5,
1927,NL,Standard,New York Giants,92,62,,0.597,2.0,
1927,NL,Standard,Chicago Cubs,85,68,,0.556,8.5,
1927,NL,Standard,Cincinnati Reds,75,78,,0.49,18.5,
1927,NL,Standard,Brooklyn Robins,65,88,,0.425,28.5,
1927,NL,Standard,Boston Braves,60,94,,0.39,34.0,
1927,NL,Standard,Philadelphia Phillies,51,103,,0.331,43.0,
1928,NL,Standard,St.Louis Cardinals,95,59,,0.617,0.0,
1928,NL,Standard,New York Giants,93,61,,0.604,2.0,
1928,NL,Standard,Chicago Cubs,91,63,,0.591,4.0,
1928,NL,Standard,Pittsburgh Pirates,85,67,,0.559,9.0,
1928,NL,Standard,Cincinnati Reds,78,74,,0.513,16.0,
1928,NL,Standard,Brooklyn Robins,77,76,,0.503,17.5,
1928,NL,Standard,Boston Braves,50,103,,0.327,44.5,
1928,NL,Standard,Philadelphia Phillies,43,109,,0.283,51.0,
1929,NL,Standard,Chicago Cubs,98,54,,0.645,0.0,
1929,NL,Standard,Pittsburgh Pirates,88,65,,0.575,10.5,
1929,NL,Standard,New York Giants,84,67,,0.556,13.5,
1929,NL,Standard,St.Louis Cardinals,78,74,,0.513,20.0,
1929,NL,Standard,Philadelphia Phillies,71,82,,0.464,27.5,
1929,NL,Standard,Brooklyn Robins,70,83,,0.458,28.5,
1929,NL,Standard,Cincinnati Reds,66,88,,0.429,33.0,
1929,NL,Standard,Boston Braves,56,98,,0.364,43.0,
1930,NL,Standard,St. Louis Cardinals,92,62,,0.597,0.0,
1930,NL,Standard,Chicago Cubs,90,64,,0.584,2.0,
1930,NL,Standard,New York Giants,87,67,,0.565,5.0,
1930,NL,Standard,Brooklyn Robins,86,68,,0.558,6.0,
1930,NL,Standard,Pittsburgh Pirates,80,74,,0.519,12.0,
1930,NL,Standard,Boston Braves,70,84,,0.455,22.0,
1930,NL,Standard,Cincinnati Reds,59,95,,0.383,33.0,
1930,NL,Standard,Philadelphia Phillies,52,102,,0.338,40.0,
1931,NL,Standard,St.Louis Cardinals,101,53,,0.656,0.0,
1931,NL,Standard,New York Giants,87,65,,0.572,13.0,
1931,NL,Standard,Chicago Cubs,84,70,,0.545,17.0,
1931,NL,Standard,Brooklyn Robins,79,73,,0.52,21.0,
1931,NL,Standard,Pittsburgh Pirates,75,79,,0.487,26.0,
1931,NL,Standard,Philadelphia Phillies,66,88,,0.429,35.0,
1931,NL,Standard,Boston Braves,64,90,,0.416,37.0,
1931,NL,Standard,Cincinnati Reds,58,96,,0.377,43.0,
1932,NL,Standard,Chicago Cubs,90,64,,0.584,0.0,
1932,NL,Standard,Pittsburgh Pirates,86,68,,0.558,4.0,
1932,NL,Standard,Brooklyn Dodgers,81,73,,0.526,9.0,
1932,NL,Standard,Philadelphia Phillies,78,76,,0.506,12.0,
1932,NL,Standard,Boston Braves,77,77,,0.5,13.0,
1932,NL,Standard,St.Louis Cardinals,72,82,,0.468,18.0,
1932,NL,Standard,New York Giants,72,82,,0.468,18.0,
1932,NL,Standard,Cincinnati Reds,60,94,,0.39,30.0,
1933,NL,Standard,New York Giants,91,61,,0.599,0.0,
1933,NL,Standard,Pittsburgh Pirates,87,67,,0.565,5.0,
1933,NL,Standard,Chicago Cubs,86,68,,0.558,6.0,
1933,NL,Standard,Boston Braves,83,71,,0.539,9.0,
1933,NL,Standard,St.Louis Cardinals,82,71,,0.536,9.5,
1933,NL,Standard,Brooklyn Dodgers,65,88,,0.425,26.5,
1933,NL,Standard,Philadelphia Phillies,60,92,,0.395,31.0,
1933,NL,Standard,Cincinnati Reds,58,94,,0.382,33.0,
1934,NL,Standard,St. Louis Cardinals,95,58,,0.621,0.0,
1934,NL,Standard,New York Giants,93,60,,0.608,2.0,
1934,NL,Standard,Chicago Cubs,86,65,,0.57,8.0,
1934,NL,Standard,Boston Braves,78,73,,0.517,16.0,
1934,NL,Standard,Pittsburgh Pirates,74,76,,0.493,19.5,
1934,NL,Standard,Brooklyn Dodgers,71,81,,0.467,23.5,
1934,NL,Standard,Philadelphia Phillies,56,93,,0.376,37.0,
1934,NL,Standard,Cincinnati Reds,52,99,,0.344,42.0,
1935,NL,Standard,Chicago Cubs,100,54,,0.649,0.0,
1935,NL,Standard,St. Louis Cardinals,96,58,,0.623,4.0,
1935,NL,Standard,New York Giants,91,62,,0.595,8.5,
1935,NL,Standard,Pittsburgh Pirates,86,67,,0.562,13.5,
1935,NL,Standard,Brooklyn Dodgers,70,83,,0.458,29.5,
1935,NL,Standard,Cincinnati Reds,68,85,,0.444,31.5,
1935,NL,Standard,Philadelphia Phillies,64,89,,0.418,35.5,
1935,NL,Standard,Boston Braves,38,115,,0.248,61.5,
1936,NL,Standard,New York Giants,92,62,,0.597,0.0,
1936,NL,Standard,St. Louis Cardinals,87,67,,0.565,5.0,
1936,NL,Standard,Chicago Cubs,87,67,,0.565,5.0,
1936,NL,Standard,Pittsburgh Pirates,84,70,,0.545,8.0,
1936,NL,Standard,Cincinnati Reds,74,80,,0.481,18.0,
1936,NL,Standard,Boston Bees,71,83,,0.461,21.0,
1936,NL,Standard,Brooklyn Dodgers,67,87,,0.435,25.0,
1936,NL,Standard,Philadelphia Phillies,54,100,,0.351,38.0,
1937,NL,Standard,New York Giants,95,57,,0.625,0.0,
1937,NL,Standard,Chicago Cubs,93,61,,0.604,3.0,
1937,NL,Standard,Pittsburgh Pirates,86,68,,0.558,10.0,
1937,NL,Standard,St. Louis Cardinals,81,73,,0.526,15.0,
1937,NL,Standard,Boston Bees,79,73,,0.52,16.0,
1937,NL,Standard,Brooklyn Dodgers,62,91,,0.405,33.5,
1937,NL,Standard,Philadelphia Phillies,61,92,,0.399,34.5,
1937,NL,Standard,Cincinnati Reds,56,98,,0.364,40.0,
1938,NL,Standard,Chicago Cubs,89,63,,0.586,0.0,
1938,NL,Standard,Pittsburgh Pirates,86,64,,0.573,2.0,
1938,NL,Standard,New York Giants,83,67,,0.553,5.0,
1938,NL,Standard,Cincinnati Reds,82,68,,0.547,6.0,
1938,NL,Standard,Boston Bees,77,75,,0.507,12.0,
1938,NL,Standard,St. Louis Cardinals,71,80,,0.47,17.5,
1938,NL,Standard,Brooklyn Dodgers,69,80,,0.463,18.5,
1938,NL,Standard,Philadelphia Phillies,45,105,,0.3,43.0,
1939,NL,Standard,Cincinnati Reds,97,57,,0.63,0.0,
1939,NL,Standard,St. Louis Cardinals,92,61,,0.601,4.5,
1939,NL,Standard,Brooklyn Dodgers,84,69,,0.549,12.5,
1939,NL,Standard,Chicago Cubs,84,70,,0.545,13.0,
1939,NL,Standard,New York Giants,77,74,,0.51,18.5,
1939,NL,Standard,Pittsburgh Pirates,68,85,,0.444,28.5,
1939,NL,Standard,Boston Bees,63,88,,0.417,32.5,
1939,NL,Standard,Philadelphia Phillies,45,106,,0.298,50.5,
1940,NL,Standard,Cincinnati Reds,100,53,,0.654,0.0,
1940,NL,Standard,Brooklyn Dodgers,88,65,,0.575,12.0,
1940,NL,Standard,St. Louis Cardinals,84,69,,0.549,16.0,
1940,NL,Standard,Pittsburgh Pirates,78,76,,0.506,22.5,
1940,NL,Standard,Chicago Cubs,75,79,,0.487,25.5,
1940,NL,Standard,New York Giants,72,80,,0.474,27.5,
1940,NL,Standard,Boston Bees,65,87,,0.428,34.5,
1940,NL,Standard,Philadelphia Phillies,50,103,,0.327,50.0,
1941,NL,Standard,Brooklyn Dodgers,100,54,,0.649,0.0,
1941,NL,Standard,St. Louis Cardinals,97,56,,0.634,2.5,
1941,NL,Standard,Cincinnati Reds,88,66,,0.571,12.0,
1941,NL,Standard,Pittsburgh Pirates,81,73,,0.526,19.0,
1941,NL,Standard,New York Giants,74,79,,0.484,25.5,
1941,NL,Standard,Chicago Cubs,70,84,,0.455,30.0,
1941,NL,Standard,Boston Braves,62,92,,0.403,38.0,
1941,NL,Standard,Philadelphia Phillies,43,111,,0.279,57.0,
1942,NL,Standard,St. Louis Cardinals,106,48,,0.688,0.0,
1942,NL,Standard,Brooklyn Dodgers,104,50,,0.675,2.0,
1942,NL,Standard,New York Giants,85,67,,0.559,20.0,
1942,NL,Standard,Cincinnati Reds,76,76,,0.5,29.0,
1942,NL,Standard,Pittsburgh Pirates,66,81,,0.449,36.5,
1942,NL,Standard,Chicago Cubs,68,86,,0.442,38.0,
1942,NL,Standard,Boston Braves,59,89,,0.399,44.0,
1942,NL,Standard,Philadelphia Phillies,42,109,,0.278,62.5,
1943,NL,Standard,St. Louis Cardinals,105,49,,0.682,0.0,
1943,NL,Standard,Cincinnati Reds,87,67,,0.565,18.0,
1943,NL,Standard,Brooklyn Dodgers,81,72,,0.529,23.5,
1943,NL,Standard,Pittsburgh Pirates,80,74,,0.519,25.0,
1943,NL,Standard,Chicago Cubs,74,79,,0.484,30.5,
1943,NL,Standard,Boston Braves,68,85,,0.444,36.5,
1943,NL,Standard,Philadelphia Phillies,64,90,,0.416,41.0,
1943,NL,Standard,New York Giants,55,98,,0.359,49.5,
1944,NL,Standard,St. Louis Cardinals,105,49,,0.682,0.0,
1944,NL,Standard,Pittsburgh Pirates,90,63,,0.588,14.5,
1944,NL,Standard,Cincinnati Reds,89,65,,0.578,16.0,
1944,NL,Standard,Chicago Cubs,75,79,,0.487,30.0,
1944,NL,Standard,New York Giants,67,87,,0.435,38.0,
1944,NL,Standard,Boston Braves,65,89,,0.422,40.0,
1944,NL,Standard,Brooklyn Dodgers,63,91,,0.409,42.0,
1944,NL,Standard,Philadelphia Phillies,61,92,,0.399,43.5,
1945,NL,Standard,Chicago Cubs,98,56,,0.636,0.0,
1945,NL,Standard,St. Louis Cardinals,95,59,,0.617,3.0,
1945,NL,Standard,Brooklyn Dodgers,87,67,,0.565,11.0,
1945,NL,Standard,Pittsburgh Pirates,82,72,,0.532,16.0,
1945,NL,Standard,New York Giants,78,74,,0.513,19.0,
1945,NL,Standard,Boston Braves,67,85,,0.441,30.0,
1945,NL,Standard,Cincinnati Reds,61,93,,0.396,37.0,
1945,NL,Standard,Philadelphia Phillies,46,108,,0.299,52.0,
1946,NL,Standard,St. Louis Cardinals,98,58,,0.628,0.0,
1946,NL,Standard,Brooklyn Dodgers,96,60,,0.615,2.0,
1946,NL,Standard,Chicago Cubs,82,71,,0.536,14.5,
1946,NL,Standard,Boston Braves,81,72,,0.529,15.5,
1946,NL,Standard,Philadelphia Phillies,69,85,,0.448,28.0,
1946,NL,Standard,Cincinnati Reds,67,87,,0.435,30.0,
1946,NL,Standard,Pittsburgh Pirates,63,91,,0.409,34.0,
1946,NL,Standard,New York Giants,61,93,,0.396,36.0,
1947,NL,Standard,Brooklyn Dodgers,94,60,,0.61,0.0,
1947,NL,Standard,St. Louis Cardinals,89,65,,0.578,5.0,
1947,NL,Standard,Boston Braves,86,68,,0.558,8.0,
1947,NL,Standard,New York Giants,81,73,,0.526,13.0,
1947,NL,Standard,Cincinnati Reds,73,81,,0.474,21.0,
1947,NL,Standard,Chicago Cubs,69,85,,0.448,25.0,
1947,NL,Standard,Philadelphia Phillies,62,92,,0.403,32.0,
1947,NL,Standard,Pittsburgh Pirates,62,92,,0.403,32.0,
1948,NL,Standard,Boston Braves,91,62,,0.595,0.0,
1948,NL,Standard,St. Louis Cardinals,85,69,,0.552,6.5,
1948,NL,Standard,Brooklyn Dodgers,84,70,,0.545,7.5,
1948,NL,Standard,Pittsburgh Pirates,83,71,,0.539,8.5,
1948,NL,Standard,New York Giants,78,76,,0.506,13.5,
1948,NL,Standard,Philadelphia Phillies,66,88,,0.429,25.5,
1948,NL,Standard,Cincinnati Reds,64,89,,0.418,27.0,
1948,NL,Standard,Chicago Cubs,64,90,,0.416,27.5,
1949,NL,Standard,Brooklyn Dodgers,97,57,,0.63,0.0,
1949,NL,Standard,St. Louis Cardinals,96,58,,0.623,1.0,
1949,NL,Standard,Philadelphia Phillies,81,73,,0.526,16.0,
1949,NL,Standard,Boston Braves,75,79,,0.487,22.0,
1949,NL,Standard,New York Giants,73,81,,0.474,24.0,
1949,NL,Standard,Pittsburgh Pirates,71,83,,0.461,26.0,
1949,NL,Standard,Cincinnati Reds,62,92,,0.403,35.0,
1949,NL,Standard,Chicago Cubs,61,93,,0.396,36.0,
1950,NL,Standard,Philadelphia Phillies,91,63,,0.591,0.0,
1950,NL,Standard,Brooklyn Dodgers,89,65,,0.578,2.0,
1950,NL,Standard,New York Giants,86,68,,0.558,5.0,
1950,NL,Standard,Boston Braves,83,71,,0.539,8.0,
1950,NL,Standard,St. Louis Cardinals,78,75,,0.51,12.5,
1950,NL,Standard,Cincinnati Reds,66,87,,0.431,24.5,
1950,NL,Standard,Chicago Cubs,64,89,,0.418,26.5,
1950,NL,Standard,Pittsburgh Pirates,57,96,,0.373,33.5,
1951,NL,Standard,New York Giants,98,59,,0.624,0.0,
1951,NL,Standard,Brooklyn Dodgers,97,60,,0.618,1.0,
1951,NL,Standard,St. Louis Cardinals,81,73,,0.526,15.5,
1951,NL,Standard,Boston Braves,76,78,,0.494,20.5,
1951,NL,Standard,Philadelphia Phillies,73,81,,0.472,23.5,
1951,NL,Standard,Cincinnati Reds,68,86,,0.442,28.5,
1951,NL,Standard,Pittsburgh Pirates,64,90,,0.416,32.5,
1951,NL,Standard,Chicago Cubs,62,92,,0.403,34.5,
1952,NL,Standard,Brooklyn Dodgers,96,57,,0.627,0.0,
1952,NL,Standard,New York Giants,92,62,,0.597,4.5,
1952,NL,Standard,St. Louis Cardinals,88,66,,0.571,8.5,
1952,NL,Standard,Philadelphia Phillies,87,67,,0.565,9.5,
1952,NL,Standard,Chicago Cubs,77,77,,0.5,19.5,
1952,NL,Standard,Cincinnati Reds,69,85,,0.448,27.5,
1952,NL,Standard,Boston Braves,64,89,,0.418,32.0,
1952,NL,Standard,Pittsburgh Pirates,42,112,,0.273,54.5,
1953,NL,Standard,Brooklyn Dodgers,105,49,,0.682,0.0,
1953,NL,Standard,Milwaukee Braves,92,62,,0.597,13.0,
1953,NL,Standard,Philadelphia Phillies,83,71,,0.539,22.0,
1953,NL,Standard,St. Louis Cardinals,83,71,,0.539,22.0,
1953,NL,Standard,New York Giants,70,84,,0.455,35.0,
1953,NL,Standard,Cincinnati Redlegs,68,86,,0.442,37.0,
1953,NL,Standard,Chicago Cubs,65,89,,0.422,40.0,
1953,NL,Standard,Pittsburgh Pirates,50,104,,0.325,55.0,
1954,NL,Standard,New York Giants,97,57,,0.63,0.0,
1954,NL,Standard,Brooklyn Dodgers,92,62,,0.597,5.0,
1954,NL,Standard,Milwaukee Braves,89,65,,0.578,8.0,
1954,NL,Standard,Philadelphia Phillies,75,79,,0.487,22.0,
1954,NL,Standard,Cincinnati Redlegs,74,80,,0.481,23.0,
1954,NL,Standard,St. Louis Cardinals,72,82,,0.468,25.0,
1954,NL,Standard,Chicago Cubs,64,90,,0.416,33.0,
1954,NL,Standard,Pittsburgh Pirates,53,101,,0.344,44.0,
1955,NL,Standard,Brooklyn Dodgers,98,55,,0.641,0.0,
1955,NL,Standard,Milwaukee Braves,85,69,,0.552,13.5,
1955,NL,Standard,New York Giants,80,74,,0.519,18.5,
1955,NL,Standard,Philadelphia Phillies,77,77,,0.5,21.5,
1955,NL,Standard,Cincinnati Redlegs,75,79,,0.487,23.5,
1955,NL,Standard,Chicago Cubs,72,81,,0.471,26.0,
1955,NL,Standard,St. Louis Cardinals,68,86,,0.442,30.5,
1955,NL,Standard,Pittsburgh Pirates,60,94,,0.39,38.5,
1956,NL,Standard,Brooklyn Dodgers,93,61,,0.604,0.0,
1956,NL,Standard,Milwaukee Braves,92,62,,0.597,1.0,
1956,NL,Standard,Cincinnati Redlegs,91,63,,0.591,2.0,
1956,NL,Standard,St. Louis Cardinals,76,78,,0.494,17.0,
1956,NL,Standard,Philadelphia Phillies,71,83,,0.461,22.0,
1956,NL,Standard,New York Giants,67,87,,0.435,26.0,
1956,NL,Standard,Pittsburgh Pirates,66,88,,0.429,27.0,
1956,NL,Standard,Chicago Cubs,60,94,,0.39,33.0,
1957,NL,Standard,Milwaukee Braves,95,59,,0.617,0.0,
1957,NL,Standard,St. Louis Cardinals,87,67,,0.565,8.0,
1957,NL,Standard,Brooklyn Dodgers,84,70,,0.545,11.0,
1957,NL,Standard,Cincinnati Redlegs,80,74,,0.519,15.0,
1957,NL,Standard,Philadelphia Phillies,77,77,,0.5,18.0,
1957,NL,Standard,New York Giants,69,85,,0.448,26.0,
1957,NL,Standard,Pittsburgh Pirates,62,92,,0.403,33.0,
1957,NL,Standard,Chicago Cubs,62,92,,0.403,33.0,
1958,NL,Standard,Milwaukee Braves,92,62,,0.597,0.0,
1958,NL,Standard,Pittsburgh Pirates,84,70,,0.545,8.0,
1958,NL,Standard,San Francisco Giants,80,74,,0.519,12.0,
1958,NL,Standard,Cincinnati Redlegs,76,78,,0.494,16.0,
1958,NL,Standard,Chicago Cubs,72,82,,0.468,20.0,
1958,NL,Standard,St. Louis Cardinals,72,82,,0.468,20.0,
1958,NL,Standard,Los Angeles Dodgers,71,83,,0.461,21.0,
1958,NL,Standard,Philadelphia Phillies,69,85,,0.448,23.0,
1959,NL,Standard,Los Angeles Dodgers,88,68,,0.654,0.0,
1959,NL,Standard,Milwaukee Braves,86,70,,0.551,1.0,
1959,NL,Standard,San Francisco Giants,83,71,,0.539,4.0,
1959,NL,Standard,Pittsburgh Pirates,78,76,,0.506,9.0,
1959,NL,Standard,Chicago Cubs,74,80,,0.481,13.0,
1959,NL,Standard,Cincinnati Reds,74,80,,0.481,13.0,
1959,NL,Standard,St. Louis Cardinals,71,83,,0.461,16.0,
1959,NL,Standard,Philadelphia Phillies,64,90,,0.416,23.0,
1960,NL,Standard,Pittsburgh Pirates,95,59,,0.617,0.0,
1960,NL,Standard,Milwaukee Braves,88,66,,0.571,7.0,
1960,NL,Standard,St. Louis Cardinals,86,68,,0.558,9.0,
1960,NL,Standard,Los Angeles Dodgers,82,72,,0.532,13.0,
1960,NL,Standard,San Francisco Giants,79,75,,0.513,16.0,
1960,NL,Standard,Cincinnati Reds,67,87,,0.435,28.0,
1960,NL,Standard,Chicago Cubs,60,94,,0.39,35.0,
1960,NL,Standard,Philadelphia Phillies,59,95,,0.383,36.0,
1961,NL,Standard,Cincinnati Reds,93,61,,0.604,0.0,
1961,NL,Standard,Los Angeles Dodgers,89,65,,0.578,4.0,
1961,NL,Standard,San Francisco Giants,85,69,,0.552,8.0,
1961,NL,Standard,Milwaukee Braves,83,71,,0.539,10.0,
1961,NL,Standard,St. Louis Cardinals,80,74,,0.519,13.0,
1961,NL,Standard,Pittsburgh Pirates,75,79,,0.487,18.0,
1961,NL,Standard,Chicago Cubs,64,90,,0.416,29.0,
1961,NL,Standard,Philadelphia Phillies,47,107,,0.305,46.0,
1962,NL,Standard,San Francisco Giants,103,62,,0.624,0.0,
1962,NL,Standard,Los Angeles Dodgers,102,63,,0.618,1.0,
1962,NL,Standard,Cincinnati Reds,98,64,,0.605,3.5,
1962,NL,Standard,Pittsburgh Pirates,93,68,,0.578,8.0,
1962,NL,Standard,Milwaukee Braves,86,76,,0.531,15.5,
1962,NL,Standard,St. Louis Cardinals,84,78,,0.519,17.5,
1962,NL,Standard,Philadelphia Phillies,81,80,,0.503,20.0,
1962,NL,Standard,Houston Colt .45s,64,96,,0.4,36.5,
1962,NL,Standard,Chicago Cubs,59,103,,0.364,42.5,
1962,NL,Standard,New York Mets,40,120,,0.25,60.5,
1963,NL,Standard,Los Angeles Dodgers,99,63,,0.611,0.0,
1963,NL,Standard,St. Louis Cardinals,93,69,,0.574,6.0,
1963,NL,Standard,San Francisco Giants,88,74,,0.543,11.0,
1963,NL,Standard,Philadelphia Phillies,87,75,,0.537,12.0,
1963,NL,Standard,Cincinnati Reds,86,76,,0.531,13.0,
1963,NL,Standard,Milwaukee Braves,84,78,,0.519,15.0,
1963,NL,Standard,Chicago Cubs,82,80,,0.506,17.0,
1963,NL,Standard,Pittsburgh Pirates,74,88,,0.457,25.0,
1963,NL,Standard,Houston Colt .45s,66,96,,0.407,33.0,
1963,NL,Standard,New York Mets,51,111,,0.315,48.0,
1964,NL,Standard,St. Louis Cardinals,93,69,,0.574,0.0,
1964,NL,Standard,Cincinnati Reds,92,70,,0.568,1.0,
1964,NL,Standard,Philadelphia Phillies,92,70,,0.568,1.0,
1964,NL,Standard,San Francisco Giants,90,72,,0.556,3.0,
1964,NL,Standard,Milwaukee Braves,88,74,,0.543,5.0,
1964,NL,Standard,Los Angeles Dodgers,80,82,,0.494,13.0,
1964,NL,Standard,Pittsburgh Pirates,80,82,,0.494,13.0,
1964,NL,Standard,Chicago Cubs,76,86,,0.469,17.0,
1964,NL,Standard,Houston Colt .45s,66,96,,0.407,27.0,
1964,NL,Standard,New York Mets,53,109,,0.327,40.0,
1965,NL,Standard,Los Angeles Dodgers,97,65,,0.599,0.0,
1965,NL,Standard,San Francisco Giants,95,67,,0.586,2.0,
1965,NL,Standard,Pittsburgh Pirates,90,72,,0.556,7.0,
1965,NL,Standard,Cincinnati Reds,89,73,,0.549,8.0,
1965,NL,Standard,Milwaukee Braves,86,76,,0.531,11.0,
1965,NL,Standard,Philadelphia Phillies,85,76,,0.528,11.5,
1965,NL,Standard,St. Louis Cardinals,80,81,,0.497,16.5,
1965,NL,Standard,Chicago Cubs,72,90,,0.444,25.0,
1965,NL,Standard,Houston Astros,65,97,,0.401,32.0,
1965,NL,Standard,New York Mets,50,112,,0.309,47.0,
1966,NL,Standard,Los Angeles Dodgers,95,67,,0.586,0.0,
1966,NL,Standard,San Francisco Giants,93,68,,0.578,1.5,
1966,NL,Standard,Pittsburgh Pirates,92,70,,0.568,3.0,
1966,NL,Standard,Philadelphia Phillies,87,75,,0.537,8.0,
1966,NL,Standard,Atlanta Braves,85,77,,0.525,10.0,
1966,NL,Standard,St. Louis Cardinals,83,79,,0.512,12.0,
1966,NL,Standard,Cincinnati Reds,76,84,,0.475,18.0,
1966,NL,Standard,Houston Astros,72,90,,0.444,23.0,
1966,NL,Standard,New York Mets,66,95,,0.41,28.5,
1966,NL,Standard,Chicago Cubs,59,103,,0.364,36.0,
1967,NL,Standard,St. Louis Cardinals,101,60,,0.627,0.0,
1967,NL,Standard,San Francisco Giants,91,71,,0.562,10.5,
1967,NL,Standard,Chicago Cubs,84,74,,0.54,14.0,
1967,NL,Standard,Cincinnati Reds,87,75,,0.537,14.5,
1967,NL,Standard,Philadelphia Phillies,82,80,,0.506,19.5,
1967,NL,Standard,Pittsburgh Pirates,81,81,,0.5,20.5,
1967,NL,Standard,Atlanta Braves,77,85,,0.475,24.5,
1967,NL,Standard,Los Angeles Dodgers,73,89,,0.451,28.5,
1967,NL,Standard,Houston Astros,69,93,,0.426,32.5,
1967,NL,Standard,New York Mets,61,101,,0.377,40.5,
1968,NL,Standard,St. Louis Cardinals,97,65,,0.599,0.0,
1968,NL,Standard,San Francisco Giants,88,74,,0.543,9.0,
1968,NL,Standard,Chicago Cubs,84,78,,0.519,13.0,
1968,NL,Standard,Cincinnati Reds,83,79,,0.512,14.0,
1968,NL,Standard,Atlanta Braves,81,81,,0.5,16.0,
1968,NL,Standard,Pittsburgh Pirates,80,82,,0.494,17.0,
1968,NL,Standard,Philadelphia Phillies,76,86,,0.469,21.0,
1968,NL,Standard,Los Angeles Dodgers,76,86,,0.469,21.0,
1968,NL,Standard,New York Mets,73,89,,0.451,24.0,
1968,NL,Standard,Houston Astros,72,90,,0.444,25.0,
1969,NL,East,New York Mets,100,62,,0.617,0.0,
1969,NL,East,Chicago Cubs,92,70,,0.568,8.0,
1969,NL,East,Pittsburgh Pirates,88,74,,0.543,12.0,
1969,NL,East,St. Louis Cardinals,87,75,,0.537,13.0,
1969,NL,East,Philadelphia Phillies,63,99,,0.389,37.0,
1969,NL,East,Montreal Expos,52,110,,0.321,48.0,
1969,NL,West,Atlanta Braves,93,69,,0.574,0.0,
1969,NL,West,San Francisco Giants,90,72,,0.556,3.0,
1969,NL,West,Cincinnati Reds,89,73,,0.549,4.0,
1969,NL,West,Los Angeles Dodgers,85,77,,0.525,8.0,
1969,NL,West,Houston Astros,81,81,,0.5,12.0,
1969,NL,West,San Diego Padres,52,110,,0.321,41.0,
1970,NL,East,Pittsburgh Pirates,89,73,,0.549,0.0,
1970,NL,East,Chicago Cubs,84,78,,0.519,5.0,
1970,NL,East,New York Mets,83,79,,0.512,6.0,
1970,NL,East,St. Louis Cardinals,76,86,,0.469,13.0,
1970,NL,East,Philadelphia Phillies,73,88,,0.453,15.5,
1970,NL,East,Montreal Expos,73,89,,0.451,16.0,
1970,NL,West,Cincinnati Reds,102,60,,0.63,0.0,
1970,NL,West,Los Angeles Dodgers,87,74,,0.54,14.5,
1970,NL,West,San Francisco Giants,86,76,,0.531,16.0,
1970,NL,West,Houston Astros,79,83,,0.488,23.0,
1970,NL,West,Atlanta Braves,76,86,,0.469,26.0,
1970,NL,West,San Diego Padres,63,99,,0.389,39.0,
1971,NL,East,Pittsburgh Pirates,97,65,,0.599,0.0,
1971,NL,East,St. Louis Cardinals,90,72,,0.556,7.0,
1971,NL,East,New York Mets,83,79,,0.512,14.0,
1971,NL,East,Chicago Cubs,83,79,,0.512,14.0,
1971,NL,East,Montreal Expos,71,90,,0.441,25.5,
1971,NL,East,Philadelphia Phillies,67,95,,0.414,30.0,
1971,NL,West,San Francisco Giants,90,72,,0.556,0.0,
1971,NL,West,Los Angeles Dodgers,89,73,,0.549,1.0,
1971,NL,West,Atlanta Braves,82,80,,0.506,8.0,
1971,NL,West,Houston Astros,79,83,,0.488,11.0,
1971,NL,West,Cincinnati Reds,79,83,,0.488,11.0,
1971,NL,West,San Diego Padres,61,100,,0.379,28.5,
1972,NL,East,Pittsburgh Pirates,96,59,,0.619,0.0,
1972,NL,East,Chicago Cubs,85,70,,0.548,11.0,
1972,NL,East,New York Mets,83,73,,0.532,13.5,
1972,NL,East,St. Louis Cardinals,75,81,,0.481,21.5,
1972,NL,East,Montreal Expos,70,86,,0.449,26.5,
1972,NL,East,Philadelphia Phillies,59,97,,0.378,37.5,
1972,NL,West,Cincinnati Reds,95,59,,0.617,0.0,
1972,NL,West,Houston Astros,84,69,,0.549,10.5,
1972,NL,West,Los Angeles Dodgers,85,70,,0.548,10.5,
1972,NL,West,Atlanta Braves,70,84,,0.455,25.0,
1972,NL,West,San Francisco Giants,69,86,,0.445,26.5,
1972,NL,West,San Diego Padres,58,95,,0.379,36.5,
1973,NL,East,New York Mets,82,79,,0.509,0.0,
1973,NL,East,St. Louis Cardinals,81,81,,0.5,1.5,
1973,NL,East,Pittsburgh Pirates,80,82,,0.494,2.5,
1973,NL,East,Montreal Expos,79,83,,0.488,3.5,
1973,NL,East,Chicago Cubs,77,84,,0.478,5.0,
1973,NL,East,Philadelphia Phillies,71,91,,0.438,11.5,
1973,NL,West,Cincinnati Reds,99,63,,0.611,0.0,
